,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
9548,17,38,0,1,0,0,0.0,0.0,1,4,18.0,6.0,6.0,1.0,10.0,2.0,13.0,9.0,2.0,1.0,0.0,0.0
9549,17,41,39,2,0,0,1.0,0.0,0,50,8.0,11.0,4.0,4.0,8.0,7.0,11.0,7.0,1.0,1.0,0.0,0.0
9550,17,19,6,4,1,0,2.0,1.0,0,79,15.0,7.0,4.0,2.0,2.0,6.0,12.0,12.0,0.0,3.0,0.0,0.0
9551,17,28,26,1,0,0,0.0,0.0,1,20,10.0,13.0,3.0,6.0,0.0,10.0,12.0,15.0,0.0,2.0,0.0,0.0
9552,17,34,24,0,2,2,0.0,2.0,2,73,6.0,16.0,4.0,4.0,3.0,1.0,5.0,8.0,1.0,2.0,0.0,0.0
9553,17,13,40,3,0,0,1.0,0.0,0,71,20.0,8.0,8.0,1.0,8.0,7.0,11.0,11.0,0.0,2.0,0.0,0.0
9554,17,6,28,2,2,1,0.0,2.0,2,114,18.0,15.0,5.0,4.0,8.0,1.0,12.0,10.0,1.0,4.0,0.0,0.0
9555,17,9,37,4,1,0,1.0,0.0,0,75,16.0,11.0,5.0,1.0,3.0,5.0,17.0,6.0,1.0,0.0,0.0,0.0
9556,17,10,34,1,1,1,0.0,0.0,1,116,9.0,13.0,3.0,6.0,7.0,5.0,8.0,14.0,1.0,0.0,0.0,0.0
9557,17,23,35,1,1,1,0.0,1.0,2,79,19.0,6.0,9.0,2.0,13.0,1.0,10.0,16.0,1.0,3.0,0.0,0.0
9558,17,24,41,4,1,0,1.0,0.0,0,125,21.0,7.0,12.0,4.0,8.0,2.0,7.0,7.0,0.0,2.0,0.0,0.0
9559,17,39,17,1,0,0,0.0,0.0,1,4,13.0,7.0,5.0,2.0,6.0,5.0,10.0,9.0,3.0,1.0,0.0,0.0
9560,17,40,19,1,2,2,0.0,0.0,1,62,10.0,16.0,3.0,7.0,6.0,3.0,11.0,9.0,1.0,1.0,0.0,0.0
9561,17,15,38,0,1,2,0.0,0.0,1,68,5.0,14.0,3.0,4.0,2.0,13.0,12.0,5.0,0.0,1.0,0.0,0.0
9562,17,26,13,2,1,0,1.0,1.0,1,73,10.0,14.0,5.0,7.0,3.0,4.0,13.0,12.0,2.0,2.0,0.0,0.0
9563,17,0,25,0,3,2,0.0,3.0,2,2,10.0,9.0,5.0,5.0,6.0,1.0,11.0,11.0,1.0,1.0,0.0,0.0
9564,17,10,17,2,1,0,0.0,1.0,2,19,21.0,10.0,8.0,4.0,10.0,4.0,9.0,12.0,1.0,1.0,0.0,1.0
9565,17,23,6,1,1,1,0.0,1.0,2,72,23.0,8.0,4.0,3.0,13.0,1.0,11.0,7.0,2.0,1.0,0.0,0.0
9566,17,24,28,2,0,0,1.0,0.0,0,50,14.0,7.0,3.0,2.0,8.0,3.0,7.0,9.0,0.0,0.0,0.0,0.0
9567,17,34,35,0,0,1,0.0,0.0,1,4,18.0,12.0,6.0,3.0,15.0,4.0,8.0,13.0,0.0,1.0,0.0,0.0
9568,17,37,41,4,1,0,2.0,0.0,0,73,9.0,7.0,8.0,2.0,4.0,5.0,9.0,14.0,0.0,3.0,0.0,0.0
9569,17,38,19,2,0,0,1.0,0.0,0,68,15.0,3.0,7.0,3.0,8.0,1.0,6.0,8.0,1.0,1.0,0.0,0.0
9570,17,39,40,1,0,0,0.0,0.0,1,102,15.0,9.0,4.0,2.0,4.0,6.0,11.0,12.0,2.0,0.0,0.0,0.0
9571,17,9,0,2,1,0,2.0,1.0,0,125,13.0,15.0,6.0,7.0,6.0,11.0,13.0,12.0,3.0,3.0,0.0,0.0
9572,17,25,13,1,0,0,0.0,0.0,1,79,13.0,3.0,3.0,0.0,5.0,2.0,8.0,9.0,2.0,1.0,0.0,0.0
9573,17,15,26,2,3,2,1.0,0.0,0,94,10.0,17.0,4.0,8.0,3.0,7.0,10.0,8.0,1.0,3.0,0.0,0.0
9574,17,13,15,2,1,0,2.0,0.0,0,4,27.0,9.0,11.0,2.0,12.0,3.0,8.0,9.0,1.0,2.0,0.0,0.0
9575,17,17,9,2,0,0,0.0,0.0,1,114,13.0,10.0,3.0,4.0,10.0,3.0,10.0,14.0,0.0,1.0,0.0,1.0
9576,17,19,37,0,0,1,0.0,0.0,1,79,30.0,0.0,4.0,0.0,12.0,0.0,9.0,9.0,2.0,3.0,0.0,1.0
9577,17,26,24,2,1,0,2.0,0.0,0,20,5.0,14.0,2.0,2.0,1.0,13.0,10.0,16.0,2.0,1.0,0.0,0.0
9578,17,28,34,3,0,0,2.0,0.0,0,2,7.0,6.0,5.0,2.0,2.0,6.0,10.0,10.0,0.0,2.0,0.0,0.0
9579,17,40,23,1,4,2,1.0,1.0,1,116,6.0,14.0,2.0,6.0,7.0,6.0,6.0,7.0,1.0,3.0,0.0,0.0
9580,17,41,10,0,3,2,0.0,0.0,1,71,13.0,7.0,4.0,4.0,5.0,1.0,13.0,7.0,2.0,2.0,0.0,0.0
9581,17,0,39,3,0,0,1.0,0.0,0,73,11.0,11.0,7.0,4.0,4.0,9.0,12.0,9.0,2.0,1.0,0.0,0.0
